                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5932,                 4.2022,                 1.4593,                0.61783,                0.16242,                0.10888,                0.05245,                 1.0497,                 4.5089,                 1.3063,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.5351,                 3.9012,                 1.4903,                0.46371,                0.37577,                0.42238,                0.25239,                 1.0563,                 2.2626,                 1.2999,                0.09187,              0.0008703,              0.0008703
                      2,                 1.4261,                 2.2469,                 1.4424,                0.38575,                0.58447,                0.53734,                0.35043,                0.90788,                 1.2926,                 1.1791,               0.087308,              0.0013076,              0.0013076
                      3,                 1.2378,                 1.1819,                 1.2982,                0.75893,                0.52016,                0.57659,                0.35578,                0.90073,                 2.0983,                 1.1639,               0.082712,              0.0017119,              0.0017119
                      4,                 1.2732,                 1.0361,                 1.2558,                0.39116,                0.71953,                0.59707,                0.37968,                 0.8742,                 1.0968,                 1.1462,               0.078083,              0.0020832,              0.0020832
                      5,                 1.1227,                0.83167,                 1.2136,                0.43725,                0.72096,                 0.5999,                 0.3659,                 0.8537,                 0.9839,                 1.1376,               0.073422,              0.0024215,              0.0024215
                      6,                 1.1249,                0.78421,                 1.1823,                0.70644,                0.81972,                0.79534,                0.47697,                0.90222,                 1.2169,                 1.1604,               0.068727,              0.0027268,              0.0027268
                      7,                 1.0228,                0.70811,                 1.1639,                 0.8159,                0.84495,                 0.9144,                0.52552,                0.93774,                 1.2839,                 1.1721,               0.063999,              0.0029991,              0.0029991
                      8,                 1.0895,                0.72094,                 1.1401,                0.87789,                0.88179,                0.93317,                0.64536,                0.89822,                0.83424,                 1.1724,               0.059238,              0.0032384,              0.0032384
                      9,                 1.0303,                0.66419,                 1.1506,                0.96329,                0.87533,                0.95747,                0.70742,                0.91855,                0.67094,                 1.1569,               0.054445,              0.0034447,              0.0034447
                     10,                 1.0076,                0.63575,                 1.1293,                0.91878,                0.93827,                0.96433,                0.75656,                 0.8608,                0.81516,                 1.1196,               0.049618,               0.003618,               0.003618
                     11,                0.94512,                0.56265,                 1.0562,                0.92821,                0.93923,                0.97532,                0.77332,                0.92348,                0.98162,                 1.1188,               0.044758,              0.0037583,              0.0037583
                     12,                0.95955,                0.59672,                 1.0878,                0.92496,                0.94842,                0.98103,                0.80939,                 0.8211,                 0.9648,                  1.073,               0.039866,              0.0038656,              0.0038656
                     13,                0.97158,                0.59115,                 1.0639,                 0.9503,                0.95887,                0.98213,                0.81551,                0.74256,                0.68248,                 1.0477,                0.03494,              0.0039399,              0.0039399
                     14,                0.92258,                0.58046,                  1.088,                0.95665,                0.95866,                0.98291,                0.83456,                 0.7198,                0.62556,                   1.04,               0.029981,              0.0039812,              0.0039812
                     15,                 0.9291,                0.55446,                 1.0468,                0.95069,                0.95238,                0.98036,                0.81969,                0.78305,                0.58614,                 1.0677,               0.024989,              0.0039895,              0.0039895
                     16,                0.91823,                0.52728,                 1.0496,                0.96104,                0.96412,                0.98437,                0.83709,                0.75678,                0.56054,                 1.0386,               0.019965,              0.0039648,              0.0039648
                     17,                  0.966,                0.55241,                 1.0405,                 0.9622,                 0.9513,                0.98126,                0.80492,                0.76533,                0.49065,                 1.0624,               0.014907,              0.0039071,              0.0039071
                     18,                0.90645,                0.52195,                 1.0206,                0.95493,                0.94913,                0.97379,                0.78182,                0.78158,                0.64806,                 1.0755,              0.0098164,              0.0038164,              0.0038164
                     19,                0.88478,                0.50736,                 1.0282,                 0.9595,                0.97619,                0.98637,                0.82993,                0.72327,                0.49922,                 1.0147,              0.0046927,              0.0036927,              0.0036927
                     20,                0.95893,                0.83601,                 1.0844,                0.95367,                0.94805,                0.97774,                0.78688,                 0.7776,                0.51689,                 1.0438,                 0.0034,                 0.0034,                 0.0034
                     21,                0.86368,                 0.5763,                 1.0579,                0.95504,                0.95671,                0.98219,                0.80309,                0.75554,                0.44752,                 1.0504,                 0.0034,                 0.0034,                 0.0034
                     22,                0.85284,                0.52815,                 1.0929,                0.94528,                0.94769,                0.96886,                0.77541,                0.80036,                0.50927,                  1.102,                0.00307,                0.00307,                0.00307
                     23,                0.79541,                0.47945,                 1.0385,                0.95789,                0.90658,                0.96846,                0.76577,                0.80459,                0.49094,                 1.0993,                0.00274,                0.00274,                0.00274
                     24,                0.78603,                 0.4482,                   1.02,                 0.9479,                0.91948,                0.95297,                0.71588,                0.81678,                0.48422,                 1.0942,                0.00241,                0.00241,                0.00241
                     25,                0.77519,                0.44263,                 1.0147,                0.95742,                0.92699,                0.98193,                0.76672,                 0.7937,                0.44869,                 1.0631,                0.00208,                0.00208,                0.00208
                     26,                0.77505,                0.43185,                0.99957,                0.95551,                0.97083,                0.98626,                0.78387,                0.76835,                0.42972,                 1.0438,                0.00175,                0.00175,                0.00175
                     27,                0.75742,                0.41968,                0.98386,                0.97155,                0.96281,                0.98884,                0.82954,                0.71456,                0.39802,                 1.0139,                0.00142,                0.00142,                0.00142
                     28,                 0.8067,                0.44371,                 1.0354,                0.96225,                0.97037,                0.98896,                0.84721,                0.69748,                0.39989,                 1.0062,                0.00109,                0.00109,                0.00109
                     29,                0.71715,                0.40627,                  1.004,                0.96226,                0.97102,                0.98909,                0.84468,                0.69314,                0.38621,                 1.0018,                0.00076,                0.00076,                0.00076
